coverType,fertility,relDensity,AIDBSPP,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85,Age90,Age95,Age100,Age105,Age110,Age115,Age120,Age125,Age130,Age135,Age140,Age145,Age150
1,1,1,"Black spruce",0,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.8,2.6,3.5,4.4,5.5,6.6,7.7,8.9,10,11.2,12.3,13.4,14.5,15.6,16.6,17.6,18.6,19.5,20.4
1,1,2,"Black spruce",0,0,0,0,0,0,0,0.1,0.3,0.7,1.3,2,2.9,4,5.2,6.5,7.8,9.2,10.5,11.9,13.2,14.5,15.8,17,18.2,19.3,20.4,21.5,22.5,23.5,24.4
1,1,3,"Black spruce",0,0,0,0,0,0,0,0.2,0.5,1,1.7,2.6,3.8,5,6.4,7.8,9.3,10.8,12.3,13.8,15.2,16.6,17.9,19.2,20.4,21.6,22.7,23.8,24.8,25.7,26.7
1,1,4,"Black spruce",0,0,0,0,0,0,0,0.3,0.7,1.3,2.3,3.4,4.7,6.2,7.7,9.3,11,12.6,14.2,15.7,17.2,18.7,20.1,21.4,22.6,23.8,25,26,27.1,28,28.9
1,1,5,"Black spruce",0,0,0,0,0,0,0,0.4,1,1.8,3,4.4,5.9,7.6,9.3,11.1,12.9,14.6,16.3,18,19.6,21.1,22.5,23.8,25.1,26.3,27.5,28.6,29.6,30.5,31.4
1,1,6,"Black spruce",0,0,0,0,0,0,0,0.7,1.5,2.6,4,5.7,7.5,9.5,11.5,13.4,15.4,17.3,19.1,20.8,22.5,24,25.5,26.9,28.2,29.4,30.5,31.6,32.6,33.5,34.4
1,1,7,"Black spruce",0,0,0,0,0,0,0,1.2,2.4,4,5.9,8,10.2,12.5,14.8,17,19.2,21.2,23.2,25,26.7,28.3,29.8,31.2,32.5,33.6,34.7,35.8,36.7,37.6,38.5
1,1,8,"Black spruce",0,0,0,0,0,0,0,2.6,4.6,6.9,9.5,12.3,15.1,17.9,20.5,23,25.4,27.6,29.6,31.5,33.3,34.8,36.3,37.6,38.9,40,41,41.9,42.8,43.6,44.3
1,1,9,"Black spruce",0,0,0,0,0,0,0,15.3,20.3,25.2,29.8,34.1,37.9,41.3,44.3,47,49.3,51.3,53.1,54.6,55.9,57,58,58.8,59.5,60.1,60.6,61.1,61.4,61.8,62
1,2,1,"Black spruce",0,0,0,0,0,0,0,0.1,0.3,0.6,1.2,1.9,2.9,4,5.3,6.7,8.2,9.7,11.3,12.9,14.5,16.1,17.6,19.2,20.6,22.1,23.5,24.9,26.2,27.4,28.7
1,2,2,"Black spruce",0,0,0,0,0,0,0,0.2,0.6,1.2,2.1,3.3,4.7,6.2,7.9,9.7,11.6,13.5,15.3,17.2,19,20.8,22.6,24.2,25.8,27.4,28.9,30.3,31.7,33,34.2
1,2,3,"Black spruce",0,0,0,0,0,0,0,0.4,0.9,1.7,2.8,4.3,5.9,7.7,9.7,11.7,13.8,15.8,17.9,19.9,21.8,23.7,25.5,27.2,28.9,30.5,32,33.5,34.8,36.1,37.4
